robot,scenario,solver,display_name,n,our_success_pct,sim_success_pct,success_agree_pct,our_collision_pct,sim_collision_pct,our_mean_clearance_m,sim_mean_clearance_m,our_mean_pos_mm,sim_mean_pos_mm,mean_ms,p95_ms
ur5,near_singular,protein_fast,ProteinIK Fast (V4),150,100.0,99.33333333333333,99.33333333333333,8.666666666666668,39.33333333333333,0.014427507071622893,-0.005024426527810052,0.3476475456567913,0.3476443014675263,44.818554666514196,250.90444500965518
ur5,near_singular,protein_raw,ProteinIK Raw Biology (V6),150,98.66666666666667,98.66666666666667,100.0,8.0,26.0,0.014200771398723399,-0.0015089280455489547,0.5274393933453478,0.5274501383657414,3343.4705320031694,3955.4926950077056
ur5,near_singular,pybullet_native_ik,PyBullet native IK,150,nan,46.0,nan,nan,54.0,nan,-0.01617483644244151,nan,14.410042343855745,11.176883329559738,14.744684996549033
ur5,cluttered,jacobian_dls,Jacobian (DLS),150,57.333333333333336,57.333333333333336,100.0,48.66666666666667,68.0,-0.019608006283031647,-0.03474143296310572,38.06831729096009,38.068315102958316,34.10510399883302,80.3060799866216
ur5,cluttered,ccd,CCD,150,42.0,42.0,100.0,60.0,70.0,-0.02409168537090046,-0.03651498930773495,19.606727881990548,19.606732555371202,177.20033466854753,329.15962002298323
ur5,cluttered,fabrik,FABRIK,150,34.0,34.0,100.0,51.33333333333333,70.0,-0.017923127604914657,-0.03482553814711622,35.13001600451768,35.13002179145927,134.3040820028788,237.1817849838407
ur5,cluttered,trac_ik_style,TRAC-IK style,150,97.33333333333334,97.33333333333334,100.0,44.0,64.66666666666666,-0.011674508903555534,-0.030225840047835136,0.7345844188689383,0.734585883260019,19.69930533513737,68.90089001681173
ur5,cluttered,multi_start,Multi-start,150,98.66666666666667,98.66666666666667,100.0,38.666666666666664,65.33333333333333,-0.005033163040875369,-0.02402035127797035,0.5521129296079857,0.552113600661023,120.39446266678472,197.45674499426957
ur5,cluttered,protein_ik,ProteinIK (V1),150,90.66666666666666,90.66666666666666,100.0,33.33333333333333,65.33333333333333,-0.00314957522215434,-0.023791278778700575,13.775954970271687,13.775957357303353,93.58864333402987,325.27351003373025
ur5,cluttered,protein_fast,ProteinIK Fast (V4),150,100.0,100.0,100.0,17.333333333333336,56.00000000000001,0.008913789406924265,-0.016466932951948725,0.316348732390953,0.31634558124175244,26.74445133190602,153.63428501004773
ur5,cluttered,protein_raw,ProteinIK Raw Biology (V6),150,100.0,100.0,100.0,16.0,48.66666666666667,0.00972317041984058,-0.013496568515357472,0.2877187637231469,0.2877379906879991,3003.149249999163,3399.31485998677
ur5,cluttered,pybullet_native_ik,PyBullet native IK,150,nan,54.0,nan,nan,71.33333333333334,nan,-0.03585011707985848,nan,5.788029055133098,8.985627999063581,12.628985024639405
